postal_code,city,lat,long
64460,Aast,43.2892,-0.0904
55130,Abainville,48.5305,5.4945
60220,Abancourt,49.6961,1.7651
59268,Abancourt,50.2347,3.2127
54610,Abaucourt,48.8975,6.2582
55400,Abaucourt-Hautecourt,49.2,5.5333
25320,Abbans-Dessous,47.1338,5.8744
25440,Abbans-Dessus,47.1206,5.8819
44170,Abbaretz,47.5525,-1.533
60430,Abbecourt,49.3588,2.1565
02300,Abbécourt,49.5992,3.1758
25340,Abbenans,47.5,6.45
80143,Abbeville,50.1052,1.8355
80144,Abbeville,50.1052,1.8355
80145,Abbeville,50.1052,1.8355
80109,Abbeville,50.1052,1.8355
80108,Abbeville,50.1052,1.8355
80103,Abbeville,50.1052,1.8355
80102,Abbeville,50.1052,1.8355
80107,Abbeville,50.1052,1.8355
80106,Abbeville,50.1052,1.8355
80142,Abbeville,50.1052,1.8355
80146,Abbeville,50.1052,1.8355
80104,Abbeville,50.1052,1.8355
80101,Abbeville,50.1052,1.8355
80105,Abbeville,50.1052,1.8355
80100,Abbeville,50.1052,1.8355
91150,Abbéville-la-Rivière,48.3468,2.1659
54800,Abbéville-lès-Conflans,49.1976,5.8439
25310,Abbévillers,47.432,6.9165
60480,Abbeville-Saint-Lucien,49.5164,2.1691
34290,Abeilhan,43.4499,3.2949
70300,Abelcourt,47.7886,6.2778
64160,Abère,43.3897,-0.1756
39500,Abergement-la-Ronce,47.069,5.3713
39600,Abergement-le-Grand,46.9141,5.6808
39800,Abergement-le-Petit,46.9024,5.6952
39110,Abergement-lès-Thésy,46.9179,5.9395
64150,Abidos,43.3984,-0.6242
37160,Abilly,46.9333,0.7333
64390,Abitain,43.4208,-0.9881
24300,Abjat-sur-Bandiat,45.5848,0.7583
80320,Ablaincourt-Pressoir,49.8401,2.8224
62153,Ablain-Saint-Nazaire,50.3932,2.7088
62116,Ablainzevelle,50.1527,2.7332
51240,Ablancourt,48.8102,4.523
95450,Ableiges,49.0893,1.9815
78660,Ablis,48.5172,1.8362
14600,Ablon,49.3921,0.2958
94480,Ablon-sur-Seine,48.7273,2.4269
42380,Aboën,45.4135,4.1322
54115,Aboncourt,48.3584,5.9673
57920,Aboncourt,49.2599,6.3476
70500,Aboncourt-Gesincourt,47.7718,5.9733
57590,Aboncourt-sur-Seille,48.816,6.3397
74360,Abondance,46.2787,6.7211
28410,Abondant,48.7859,1.4401
64360,Abos,43.3583,-0.5631
57560,Abreschviller,48.637,7.0961
03200,Abrest,46.0986,3.4446
05460,Abriès,44.7943,6.927
59215,Abscon,50.3333,3.3
16500,Abzac,46.1027,0.7034
33230,Abzac,45.0161,-0.1288
25250,Accolans,47.4946,6.5322
89460,Accolay,47.6612,3.7089
07160,Accons,44.8862,4.387
64490,Accous,42.9746,-0.5995
57340,Achain,48.9139,6.5924
57412,Achen,49.0453,7.1821
67204,Achenheim,48.5807,7.628
78260,Achères,48.9612,2.0688
18250,Achères,47.2791,2.45
77760,Achères-la-Forêt,48.3546,2.5704
02800,Achery,49.6937,3.3898
80560,Acheux-en-Amiénois,50.0728,2.532
80210,Acheux-en-Vimeu,50.0652,1.6761
62320,Acheville,50.384,2.8827
70180,Achey,47.5739,5.6084
62217,Achicourt,50.2743,2.7578
62121,Achiet-le-Grand,50.1307,2.7812
62121,Achiet-le-Petit,50.124,2.7527
58110,Achun,47.1242,3.6796
60690,Achy,49.5567,1.9792
35690,Acigné,48.1354,-1.5337
27800,Aclou,49.1714,0.704
27570,Acon,48.7659,1.102
62144,Acq,50.3472,2.6574
14220,Acqueville,48.9721,-0.3674
50440,Acqueville,49.6088,-1.7496
27400,Acquigny,49.1735,1.1765
62380,Acquin-Westbécourt,50.7276,2.0899
02200,Acy,49.3452,3.4117
60620,Acy-en-Multien,49.1042,2.9554
08300,Acy-Romance,49.5011,4.342
57580,Adaincourt,49.0065,6.4369
78113,Adainville,48.7233,1.6532
25360,Adam-lès-Passavant,47.2973,6.3603
25530,Adam-lès-Vercel,47.1684,6.3926
67320,Adamswiller,48.9047,7.2039
65260,Adast,42.9739,-0.0783
65100,Adé,43.1339,-0.0277
57380,Adelange,49.0049,6.6136
70200,Adelans-et-le-Val-de-Bithaine,47.7097,6.3978
65240,Adervielle-Pouchergues,42.8193,0.4048
79200,Adilly,46.6913,-0.3114
62116,Adinfer,50.1939,2.7087
34230,Adissan,43.5351,3.4279
45230,Adon,47.7637,2.7956
86430,Adriers,46.2572,0.7992
20167,Afa,41.984,8.7983
19260,Affieux,45.5176,1.7671
54800,Affléville,49.2703,5.7633
69170,Affoux,45.8449,4.4033
54740,Affracourt,48.4618,6.1709
62380,Affringues,50.6896,2.0756
31230,Agassac,43.3713,0.8889
34304,Agde,43.3108,3.4758
34302,Agde,43.3108,3.4758
34301,Agde,43.3108,3.4758
34300,Agde,43.3108,3.4758
34309,Agde,43.3108,3.4758
34307,Agde,43.3108,3.4758
34303,Agde,43.3108,3.4758
34305,Agde,43.3108,3.4758
34210,Agel,43.3382,2.8532
47030,Agen,44.202,0.6206
47032,Agen,44.202,0.6206
47000,Agen,44.202,0.6206
47002,Agen,44.202,0.6206
47031,Agen,44.202,0.6206
47004,Agen,44.202,0.6206
47005,Agen,44.202,0.6206
47006,Agen,44.202,0.6206
47007,Agen,44.202,0.6206
47008,Agen,44.202,0.6206
47013,Agen,44.202,0.6206
47020,Agen,44.202,0.6206
47023,Agen,44.202,0.6206
47039,Agen,44.202,0.6206
47003,Agen,44.202,0.6206
47914,Agen,44.202,0.6206
47929,Agen,44.202,0.6206
47931,Agen,44.202,0.6206
47923,Agen,44.202,0.6206
47922,Agen,44.202,0.6206
47921,Agen,44.202,0.6206
47920,Agen,44.202,0.6206
47918,Agen,44.202,0.6206
47917,Agen,44.202,0.6206
47916,Agen,44.202,0.6206
47924,Agen,44.202,0.6206
47915,Agen,44.202,0.6206
47925,Agen,44.202,0.6206
47912,Agen,44.202,0.6206
47911,Agen,44.202,0.6206
47910,Agen,44.202,0.6206
47909,Agen,44.202,0.6206
47901,Agen,44.202,0.6206
47913,Agen,44.202,0.6206
21700,Agencourt,47.1278,4.9818
12630,Agen-d'Aveyron,44.3571,2.6798
80370,Agenville,50.1652,2.1026
80150,Agenvillers,50.1785,1.9183
52340,Ageville,48.1103,5.3549
21410,Agey,47.284,4.7637
20270,Aghione,42.1113,9.4001
54770,Agincourt,48.7335,6.2375
47350,Agmé,44.491,0.347
47800,Agnac,44.6537,0.3717
43100,Agnat,45.3434,3.449
50180,Agneaux,49.1191,-1.1061
60600,Agnetz,49.3812,2.3862
62161,Agnez-lès-Duisans,50.3078,2.6579
02340,Agnicourt-et-Séchelles,49.716,3.9541
62690,Agnières,50.3548,2.6061
05250,Agnières-en-Dévoluy,44.6942,5.8818
38150,Agnin,45.3402,4.8532
64400,Agnos,43.1632,-0.6191
62217,Agny,50.2591,2.76
24460,Agonac,45.2926,0.7497
50230,Agon-Coutainville,49.0417,-1.575
34190,Agonès,43.9037,3.7275
03210,Agonges,46.6061,3.1585
65400,Agos,43.035,-0.0716
16110,Agris,45.7744,0.334
17500,Agudelle,45.3846,-0.4725
12520,Aguessac,44.1567,3.098
02190,Aguilcourt,49.4056,3.9669
81470,Aguts,43.5305,1.9204
14400,Agy,49.2398,-0.7644
64220,Ahaxe,43.1505,-1.1648
64210,Ahetze,43.4056,-1.5714
88500,Ahéville,48.2842,6.1946
53940,Ahuillé,48.0208,-0.8707
23150,Ahun,46.0858,2.0449
21121,Ahuy,47.3694,5.0209
59149,Aibes,50.2357,4.0956
25750,Aibre,47.5514,6.6965
64120,Aïcirits-Camou-Suhast,43.3367,-1.0235
79230,Aiffres,46.2887,-0.4147
30700,Aigaliers,44.0591,4.3209
08090,Aiglemont,49.7803,4.7648
39110,Aiglepierre,46.9527,5.8174
27120,Aigleville,49.0079,1.4237
06910,Aiglun,43.8575,6.9146
32290,Aignan,43.6977,0.0831
21510,Aignay-le-Duc,47.6656,4.7332
72650,Aigné,48.0672,0.1193
34210,Aigne,43.3326,2.797
14710,Aignerville,49.3208,-0.9204
31550,Aignes,43.3203,1.5885
16190,Aignes-et-Puypéroux,45.45,0.15
80210,Aigneville,50.0346,1.6208
51150,Aigny,49.0356,4.2093
79370,Aigonnay,46.3295,-0.2606
16140,Aigre,45.8915,0.0082
31280,Aigrefeuille,43.5678,1.5888
17290,Aigrefeuille-d'Aunis,46.1163,-0.9345
44140,Aigrefeuille-sur-Maine,47.0801,-1.4042
89800,Aigremont,47.7188,3.8925
78240,Aigremont,48.9045,2.0192
52400,Aigremont,48.0167,5.7167
30350,Aigremont,43.9658,4.1228
73610,Aiguebelette-le-Lac,45.5394,5.816
73225,Aiguebelle,45.5439,6.3038
73220,Aiguebelle,45.5439,6.3038
73223,Aiguebelle,45.5439,6.3038
73224,Aiguebelle,45.5439,6.3038
73229,Aiguebelle,45.5439,6.3038
73221,Aiguebelle,45.5439,6.3038
73265,Aigueblanche,45.5045,6.5018
73264,Aigueblanche,45.5045,6.5018
73261,Aigueblanche,45.5045,6.5018
73260,Aigueblanche,45.5045,6.5018
73269,Aigueblanche,45.5045,6.5018
81200,Aiguefonde,43.4942,2.3165
63260,Aigueperse,46.0225,3.2023
69790,Aigueperse,46.2771,4.4341
09240,Aigues-Juntes,43.05,1.4667
30220,Aigues-Mortes,43.5668,4.1907
09600,Aigues-Vives,42.9966,1.8756
34210,Aigues-Vives,43.3378,2.8172
11800,Aigues-Vives,43.2307,2.5343
30670,Aigues-Vives,43.7397,4.1798
30760,Aiguèze,44.3029,4.556
43000,Aiguilhe,45.0503,3.882
05470,Aiguilles,44.7816,6.8682
47190,Aiguillon,44.2992,0.3394
83630,Aiguines,43.776,6.2428
36140,Aigurande,46.434,1.8303
07200,Ailhon,44.5977,4.3424
45230,Aillant-sur-Milleron,47.7923,2.9303
89110,Aillant-sur-Tholon,47.8743,3.3505
33124,Aillas,44.4741,-0.0747
42130,Ailleux,45.8039,3.9434
70110,Aillevans,47.5907,6.4157
10200,Ailleville,48.2523,4.6814
70320,Aillevillers-et-Lyaumont,47.9203,6.3377
52700,Aillianville,48.3422,5.4782
72600,Aillières-Beauvoir,48.4054,0.3246
70300,Ailloncourt,47.7553,6.3879
73340,Aillon-le-Jeune,45.6188,6.0812
73340,Aillon-le-Vieux,45.6517,6.0952
27600,Ailly,49.1607,1.2473
80690,Ailly-le-Haut-Clocher,50.0793,1.9944
80250,Ailly-sur-Noye,49.7571,2.3637
80470,Ailly-sur-Somme,49.9289,2.1961
30470,Aimargues,43.6854,4.2077
73214,Aime,45.5556,6.6504
73210,Aime,45.5556,6.6504
73211,Aime,45.5556,6.6504
73212,Aime,45.5556,6.6504
73216,Aime,45.5556,6.6504
73219,Aime,45.5556,6.6504
73210,Aime-la-Plagne,45.5556,6.6486
03360,Ainay-le-Château,46.7113,2.6924
18200,Ainay-le-Vieil,46.6666,2.552
64220,Aincille,43.1447,-1.1957
95510,Aincourt,49.0724,1.773
55110,Aincreville,49.3684,5.1214
54460,Aingeray,48.7387,6.0025
88140,Aingeville,48.2062,5.7694
52230,Aingoulaincourt,48.4554,5.2867
64130,Ainharp,43.2605,-0.9306
64220,Ainhice,43.2055,-1.1558
64250,Ainhoa,43.3069,-1.4988
70800,Ainvelle,47.8463,6.2503
88320,Ainvelle,47.9966,5.8284
80270,Airaines,49.9683,1.9427
14370,Airan,49.101,-0.152
08190,Aire,49.4809,4.1622
50680,Airel,49.2187,-1.0789
40801,Aire-sur-l'Adour,43.7025,-0.2628
40805,Aire-sur-l'Adour,43.7025,-0.2628
40800,Aire-sur-l'Adour,43.7025,-0.2628
62921,Aire-sur-la-Lys,50.6387,2.3988
62922,Aire-sur-la-Lys,50.6387,2.3988
62929,Aire-sur-la-Lys,50.6387,2.3988
62923,Aire-sur-la-Lys,50.6387,2.3988
62120,Aire-sur-la-Lys,50.6387,2.3988
60600,Airion,49.4253,2.4171
62180,Airon-Notre-Dame,50.436,1.6596
62180,Airon-Saint-Vaast,50.4321,1.6667
11320,Airoux,43.364,1.8665
79600,Airvault,46.827,-0.1379
21110,Aiserey,47.1723,5.1626
70500,Aisey-et-Richecourt,47.8895,5.9547
21400,Aisey-sur-Seine,47.7506,4.5807
02110,Aisonville-et-Bernoville,49.9338,3.5239
25360,Aïssey,47.2667,6.3333
21390,Aisy-sous-Thil,47.3931,4.2868
89390,Aisy-sur-Armançon,47.6676,4.2255
20244,Aiti,42.3991,9.2442
73220,Aiton,45.5612,6.2595
19200,Aix,45.616,2.3826
26150,Aix-en-Diois,44.7083,5.4191
62650,Aix-en-Ergny,50.5838,1.9996
62170,Aix-en-Issart,50.4762,1.8583
10160,Aix-en-Othe,48.2239,3.7342
59310,Aix-en-Pévèle,50.4896,3.2953
13604,Aix-en-Provence,43.5283,5.4497
13858,Aix-en-Provence,43.5283,5.4497
13627,Aix-en-Provence,43.5283,5.4497
13603,Aix-en-Provence,43.5283,5.4497
13602,Aix-en-Provence,43.5283,5.4497
13601,Aix-en-Provence,43.5283,5.4497
13859,Aix-en-Provence,43.5283,5.4497
13594,Aix-en-Provence,43.5283,5.4497
13101,Aix-en-Provence,43.5283,5.4497
13100,Aix-en-Provence,43.5283,5.4497
13593,Aix-en-Provence,43.5283,5.4497
13605,Aix-en-Provence,43.5283,5.4497
13628,Aix-en-Provence,43.5283,5.4497
13629,Aix-en-Provence,43.5283,5.4497
13766,Aix-en-Provence,43.5283,5.4497
13764,Aix-en-Provence,43.5283,5.4497
13592,Aix-en-Provence,43.5283,5.4497
